1,55.94,57.25
4,78.24,79.63
5,80.49,85.32
2,85.72,87.33
5,87.48,92.39
2,92.72,94.02
5,94.33,100.03
4,103.73,105.2
2,105.37,106.08
5,106.5,111.48
3,112.47,114.06
5,118.04,121.71
1,122.49,124.01
5,124.64,129.68
4,132.39,133.13
5,133.22,142.65
6,153.12,164.97
7,171.47,174.88
8,180.45,187.82
5,44.23,46.78
1,55.84,65.92
4,69.41,79.56
5,80.11,100.12
2,85.7,87.4
2,92.47,93.82
4,103.6,104.81
2,105.16,106.05
5,106.77,111.32
3,112.59,113.99
5,118.21,121.08
1,122.39,124.06
5,124.61,142.5
4,132.02,137.84
6,153.19,166.03
7,171.52,174.71
8,180.53,187.89
