3,48.14,49.74
1,51.09,53.89
5,54.15,56.85
4,56.86,60.36
6,60.64,69.1
3,71.26,73.76
1,74.55,77.45
5,77.82,79.42
5,90.24,94.05
4,94.69,97.69
5,98.65,100.45
6,102.44,112.34
3,116.23,118.03
1,119.11,121.61
5,122.38,125.28
4,125.52,128.72
6,129.85,138.45
3,208.24,210.24
1,210.86,213.66
5,215.07,216.97
4,217.16,220.56
6,221.7,229.4
3,301.67,303.67
1,304.77,307.17
5,307.97,309.57
5,319.69,324.49
4,325.0,327.6
5,328.76,330.46
6,332.49,343.49
3,346.55,348.65
1,349.41,351.61
5,352.56,355.46
4,355.9,358.9
6,359.91,368.71
