1,59.81,61.95
5,70.88,77.23
4,86.93,99.11
5,108.11,116.19
2,120.76,124.87
5,126.08,132.82
5,139.66,144.71
5,152.11,163.76
3,155.71,159.01
5,172.18,198.6
3,182.97,184.8
5,209.12,212.57
6,228.05,234.71
7,242.0,251.0
8,261.65,264.15
6,270.48,274.57
1,59.58,61.79
5,70.65,76.73
4,83.83,97.97
5,107.96,116.7
2,122.56,125.53
5,126.05,132.75
5,139.72,144.21
4,146.51,151.51
5,152.08,154.62
3,156.33,158.62
5,160.46,163.81
1,166.13,170.2
5,171.45,180.49
3,182.73,184.48
5,185.93,198.38
5,208.92,212.29
6,226.5,234.61
7,246.86,250.68
8,261.63,265.71
6,270.05,274.28
2,296.29,298.38
5,299.31,303.19
5,309.18,312.53
5,327.42,334.65
