1,43.75,47.13
2,49.18,50.87
5,64.41,70.52
3,120.69,122.39
1,128.3,136.82
5,132.84,146.11
5,150.98,162.96
5,168.27,175.43
6,209.3,216.31
7,245.14,249.96
7,259.59,261.62
7,263.84,264.84
8,265.29,269.13
6,289.96,298.2
7,305.11,306.29
6,308.33,311.59
6,314.03,315.43
8,315.67,324.38
1,44.68,46.61
2,48.59,51.79
5,64.6,70.9
5,107.93,124.3
3,119.66,122.66
1,128.41,137.5
5,133.03,146.07
5,151.88,163.1
5,168.59,175.74
6,206.26,216.5
7,244.08,265.15
8,265.68,269.22
6,290.13,300.37
7,305.09,306.38
8,306.61,308.2
6,308.38,309.6
6,310.21,311.65
6,314.04,315.35
8,316.22,322.19
